time,open,high,low,close,
13/07/2011 0:00,1.39859,1.42802,1.39855,1.42224,282983
14/07/2011 0:00,1.42223,1.42572,1.41151,1.41747,267501
15/07/2011 0:00,1.41748,1.41843,1.40923,1.41542,192415
17/07/2011 0:00,1.4103,1.41332,1.40514,1.40794,46898
18/07/2011 0:00,1.40791,1.41354,1.4014,1.4114,242952
19/07/2011 0:00,1.4114,1.42172,1.40685,1.41522,261315
20/07/2011 0:00,1.41523,1.42738,1.4133,1.42644,246945
21/07/2011 0:00,1.42642,1.44367,1.4139,1.4394,284910
22/07/2011 0:00,1.4394,1.44373,1.43235,1.43564,198582
24/07/2011 0:00,1.43844,1.4416,1.43573,1.43749,44965
25/07/2011 0:00,1.43749,1.44852,1.43249,1.44773,247577
26/07/2011 0:00,1.44773,1.45353,1.44559,1.45192,232973
27/07/2011 0:00,1.45192,1.45297,1.43316,1.43536,250580
28/07/2011 0:00,1.43539,1.44001,1.42544,1.43389,262481
29/07/2011 0:00,1.43392,1.44123,1.42301,1.43962,218169
31/07/2011 0:00,1.43793,1.44023,1.43465,1.43929,41402
01/08/2011 0:00,1.43929,1.44526,1.41856,1.42532,254051
02/08/2011 0:00,1.42531,1.42826,1.41512,1.42113,294833
03/08/2011 0:00,1.42114,1.43676,1.41453,1.42781,320453
04/08/2011 0:00,1.42781,1.43311,1.40555,1.41086,340076
05/08/2011 0:00,1.4109,1.42975,1.40728,1.42763,291315
07/08/2011 0:00,1.44152,1.4426,1.42879,1.43225,74470
08/08/2011 0:00,1.43225,1.44015,1.41302,1.42281,379843
09/08/2011 0:00,1.42281,1.43962,1.41835,1.43463,355393
10/08/2011 0:00,1.43463,1.44008,1.41223,1.4218,367220
11/08/2011 0:00,1.42179,1.42871,1.4104,1.41884,340065
12/08/2011 0:00,1.41884,1.42895,1.41494,1.42485,238246
14/08/2011 0:00,1.42623,1.43175,1.42525,1.42963,62382
15/08/2011 0:00,1.42964,1.44727,1.42637,1.44245,248805
16/08/2011 0:00,1.44245,1.44664,1.43527,1.44062,262893
17/08/2011 0:00,1.44062,1.45159,1.4328,1.43905,258290
18/08/2011 0:00,1.43905,1.44509,1.42712,1.43092,284342
19/08/2011 0:00,1.43091,1.44515,1.42588,1.43961,225482
21/08/2011 0:00,1.43765,1.4392,1.43607,1.43676,49142
22/08/2011 0:00,1.43676,1.44341,1.43471,1.43717,220351
23/08/2011 0:00,1.43719,1.44995,1.43644,1.44116,225520
24/08/2011 0:00,1.44113,1.44811,1.43852,1.44059,209282
25/08/2011 0:00,1.4406,1.44743,1.43277,1.44132,221642
26/08/2011 0:00,1.44131,1.45012,1.43303,1.44985,185020
28/08/2011 0:00,1.44935,1.45032,1.4466,1.44943,33298
29/08/2011 0:00,1.44944,1.45483,1.44845,1.45141,172826
30/08/2011 0:00,1.45139,1.45328,1.4385,1.44346,207867
31/08/2011 0:00,1.44347,1.44674,1.4354,1.4365,203046
01/09/2011 0:00,1.43651,1.43725,1.4226,1.4268,204223
02/09/2011 0:00,1.42679,1.42857,1.41838,1.42046,176706
04/09/2011 0:00,1.41581,1.4173,1.4136,1.41661,34847
05/09/2011 0:00,1.41661,1.41669,1.40545,1.40601,182741
06/09/2011 0:00,1.40601,1.42347,1.39741,1.40417,245950
07/09/2011 0:00,1.40416,1.4125,1.40131,1.40702,212512
08/09/2011 0:00,1.40701,1.40887,1.38733,1.39131,232425
09/09/2011 0:00,1.39131,1.39171,1.36285,1.36532,213833
11/09/2011 0:00,1.3584,1.36219,1.35034,1.35172,56278
12/09/2011 0:00,1.35172,1.36902,1.35127,1.36787,291719
13/09/2011 0:00,1.36785,1.37386,1.35585,1.36435,300153
14/09/2011 0:00,1.3643,1.37816,1.35907,1.37095,276377
15/09/2011 0:00,1.37093,1.39314,1.37065,1.38601,249143
16/09/2011 0:00,1.386,1.3875,1.37537,1.37987,189047
18/09/2011 0:00,1.36883,1.37114,1.36473,1.36629,48152
19/09/2011 0:00,1.36625,1.37204,1.35867,1.36089,271725
20/09/2011 0:00,1.36089,1.3732,1.36029,1.37168,252721
21/09/2011 0:00,1.3717,1.37869,1.35319,1.3539,287998
22/09/2011 0:00,1.35386,1.35727,1.33871,1.35134,318433
23/09/2011 0:00,1.35131,1.35592,1.34186,1.34978,231507
25/09/2011 0:00,1.35129,1.35492,1.33907,1.34064,65613
26/09/2011 0:00,1.34064,1.35658,1.33652,1.35227,306145
27/09/2011 0:00,1.35227,1.36665,1.34811,1.35638,297914
28/09/2011 0:00,1.35635,1.36881,1.35196,1.36265,285599
29/09/2011 0:00,1.36265,1.36776,1.35226,1.35441,278059
30/09/2011 0:00,1.35441,1.35633,1.3384,1.33875,209678
02/10/2011 0:00,1.33394,1.33696,1.33141,1.33267,46722
